"동별(1)",동별(2),2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4
"동별(1)",동별(2),세대 (세대),계 (명),한국인,한국인,등록외국인,등록외국인,인구밀도,인구밀도
"동별(1)",동별(2),소계,소계,남자,여자,남자,여자,소계,인구밀도 (명/㎢)
"합계",종로구,72304,151127,67625,72320,4597,6585,2,28610
"합계",중구,64609,131825,58788,62617,4873,5547,2,25737
"합계",용산구,109360,230692,103804,112348,7842,6698,2,39972
"합계",성동구,133366,285543,135143,143223,2966,4211,2,48988
"합계",광진구,170388,351959,161892,174712,6167,9188,2,56173
"합계",동대문구,173091,359113,167468,173770,6468,11407,2,66440
"합계",중랑구,187900,387940,187844,194953,2030,3113,2,77949
"합계",성북구,197607,440089,205245,222426,4497,7921,2,79739
"합계",강북구,144269,294804,140589,149566,1613,3036,2,68119
"합계",도봉구,138210,310133,149281,158459,823,1570,2,69508
"합계",노원구,218367,504423,240084,259905,1875,2559,2,95384
"합계",은평구,215776,471155,221977,245121,1608,2449,2,92820
"합계",서대문구,147333,321379,146119,161322,4332,9606,2,57632
"합계",마포구,181192,375639,170296,193961,4047,7335,2,57462
"합계",양천구,181072,440591,213648,223753,1316,1874,2,75420
"합계",강서구,274249,569978,270491,293848,2470,3169,2,100929
"합계",구로구,184467,416815,193258,200671,12207,10679,2,79150
"합계",금천구,120650,242076,115038,113573,7094,6371,2,44793
"합계",영등포구,190761,398290,184175,191411,11682,11022,2,66975
"합계",동작구,187199,390740,183880,196274,4342,6244,2,69944
"합계",관악구,286045,500582,244198,240974,6190,9220,2,84664
"합계",서초구,169621,410766,193703,212701,2087,2275,2,64761
"합계",강남구,238647,546291,258656,282301,2452,2882,2,85288
"합계",송파구,286123,661515,315224,340520,2568,3203,2,107605
"합계",강동구,203120,462453,224075,234310,1812,2256,2,81739
