,역명,면적,역내개수,역내용량최대,역외개수,역외용량최대,총개수
0,가락시장역,19754.13,4.0,1000.0,2,1000,6.0
1,건대입구역,8688.61,2.0,1000.0,2,1350,4.0
2,고속터미널역,21800.3,4.0,1000.0,0,0,4.0
3,공덕역,15953.14,0.0,0.0,0,0,0.0
4,교대역,15508.08,6.0,1000.0,4,1000,10.0
5,군자역,19806.0,0.0,0.0,0,0,0.0
6,김포공항역,11008.53,0.0,0.0,0,0,0.0
7,까치산역,7868.900000000001,0.0,0.0,0,0,0.0
8,노원역,17160.940000000002,4.0,1000.0,4,1000,8.0
9,당산역,6385.0,4.0,750.0,2,750,6.0
10,대림역,15835.53,4.0,1000.0,4,1000,8.0
11,동대문역,15245.3,6.0,1000.0,4,1000,10.0
12,동대문역사문화공원역,21118.07,6.0,1000.0,2,1000,8.0
13,동묘앞역,17927.0,10.0,1000.0,4,1000,14.0
14,동작역,9787.369999999999,4.0,750.0,0,0,4.0
15,불광역,11122.53,4.0,750.0,2,1000,6.0
16,사당역,27055.0,4.0,1000.0,6,1000,10.0
17,삼각지역,15978.6,4.0,1000.0,6,1000,10.0
18,서울역,20369.0,4.0,1000.0,8,1000,12.0
19,석촌역,6991.2,0.0,0.0,0,0,0.0
20,시청역,18038.0,6.0,1000.0,4,1000,10.0
21,신당역,24701.21,4.0,1000.0,2,1000,6.0
22,신설동역,11787.0,6.0,1000.0,8,1000,14.0
23,약수역,15965.48,2.0,1000.0,2,1000,4.0
24,여의도역,12889.57,0.0,0.0,0,0,0.0
25,연신내역,6782.0,2.0,1000.0,0,0,2.0
26,영등포구청역,24976.05,4.0,1000.0,2,1000,6.0
27,오금역,13601.0,4.0,1000.0,2,1000,6.0
28,올림픽공원역,6499.44,0.0,0.0,0,0,0.0
29,왕십리역,23094.75,4.0,1000.0,0,0,4.0
30,을지로3가역,15361.0,6.0,1000.0,2,750,8.0
31,을지로4가역,15127.0,4.0,1000.0,2,1000,6.0
32,이수역,22783.32,4.0,1000.0,4,1000,8.0
33,잠실역,20297.67,4.0,1000.0,4,1000,8.0
34,종로3가역,30998.42,6.0,1000.0,4,1000,10.0
35,종합운동장역,18506.0,4.0,1000.0,2,1000,6.0
36,천호역,12015.86,0.0,0.0,0,0,0.0
37,청구역,11740.34,0.0,0.0,0,0,0.0
38,충무로역,10000.0,6.0,1000.0,2,600,8.0
39,충정로역,19487.78,2.0,900.0,2,600,4.0
40,태릉입구역,26250.28,0.0,0.0,0,0,0.0
41,합정역,22750.8,4.0,1000.0,4,1000,8.0
